SpaceTrack Abbreviation,ITU Country #1,ITU Country #2,ITU Country #3,ITU Country #4,ITU Country #5,ITU Country #6,ITU Country #7,ITU Country #8,ITU Country #9,ITU Country #10,ITU Country #11,ITU Country #12,ITU Country #13,ITU Country #14,ITU Country #15,ITU Country #16,ITU Country #17,ITU Country #18,ITU Country #19,ITU Country #20,ITU Country #21,ITU Country #22,ITU Country #23,ITU Country #24,ITU Country #25,ITU Country #26,ITU Country #27,ITU Country #28,ITU Country #29,ITU Country #30,ITU Country #31
US,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITSO,HOL,USA,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATO,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIS,RUS,RUS / IK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGER,F,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDO,INS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESA,AUT,BEL,CZE,DNK,EST,FIN,F,D,GRC,HNG,IRL,I,LUX,HOL,NOR,POL,POR,ROU,E,S,SUI,G,F / ESA,,,,,,,,
IND,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUTE,F,F / EUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ARS,KWT,LBY,QAT,UAE,JOR,LBN,BHR,SYR,IRQ,ALG,YEM,EGY,OMA,TUN,MRC,SDN,MTN,SOM,DJI,ARS / ARB,,,,,,,,,,
PRC,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,D,D / EUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETH,HOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR,F,F / EUT,F / ESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWED,S,S / NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM,G,GRC,AUT,BEL,CZE,DNK,EST,FIN,F,D,HNG,IRL,I,LUX,HOL,NOR,POL,POR,ROU,E,S,SUI,USA,,,,,,,,
SES,LUX,HOL,USA,G,CAN,TKM,MCO,MEX,UAE,,,,,,,,,,,,,,,,,,,,,,
SPN,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREC,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZ,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
